,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
52,4452.T,Kao Corporation,"8,529.00",-198.00,-2.27%,1.762M,1.384M,4.102T,27.69
53,ORN.MX,L'Oreal S.A.,"7,264.55",0.00,0.00%,0,382,4.072T,920.38
54,MIDI.JK,PT Midi Utama Indonesia Tbk,"1,405.00",0.00,0.00%,"200,200","61,995",4.05T,18.65
55,DLTA.JK,PT Delta Djakarta Tbk,"4,990.00",+110.00,+2.25%,"1,700","22,882",3.995T,14.55
56,SGRO.JK,PT Sampoerna Agro Tbk,"2,000.00",0.00,0.00%,"128,800","83,837",3.637T,121.29
57,DSNG.JK,PT Dharma Satya Nusantara Tbk,340.00,0.00,0.00%,1.153M,1.181M,3.556T,18.37
58,2914.T,Japan Tobacco Inc.,"1,969.50",-8.00,-0.40%,4.321M,4.726M,3.493T,11.14
59,COST.MX,Costco Wholesale Corporation,"7,217.00",+37.00,+0.52%,50,"1,143",3.134T,863.38
60,ULN.MX,The Unilever Group,"1,250.00",-6.00,-0.48%,21,"1,207",3.097T,494.66
61,000087.KS,"HITEJINRO Co., Ltd.","23,150.00",-150.00,-0.64%,"6,715","17,229",3.188T,N/A
62,000080.KS,"HITEJINRO Co., Ltd.","44,050.00","-1,550.00",-3.40%,"533,991","577,211",3.099T,N/A
63,TBLA.JK,PT Tunas Baru Lampung Tbk,580.00,+5.00,+0.87%,1.015M,4.495M,3.082T,5.52
64,3382.T,"Seven & i Holdings Co., Ltd.","3,425.00",-54.00,-1.55%,1.946M,1.916M,3.024T,13.87
65,CPRO.JK,PT Central Proteina Prima Tbk,50.00,0.00,0.00%,"2,600","11,700",2.979T,N/A
66,139480.KS,E-MART Inc.,"106,500.00","+1,000.00",+0.95%,"132,978","233,542",2.872T,N/A
67,8113.T,Unicharm Corporation,"4,794.00",+13.00,+0.27%,1.812M,1.461M,2.859T,54.46
68,BWPT.JK,PT Eagle High Plantations Tbk,90.00,-1.00,-1.10%,23.579M,29.726M,2.837T,N/A
69,4911.T,"Shiseido Company, Limited","6,845.00",-139.00,-1.99%,2.045M,1.852M,2.734T,66.02
70,PM.MX,Philip Morris International Inc.,"1,560.00",0.00,0.00%,0,70,2.536T,317.72
71,ITC.NS,ITC Limited,196.30,+2.05,+1.06%,21.259M,30.073M,2.413T,15.77
72,ITC.BO,ITC Limited,196.25,+1.95,+1.00%,1.917M,1.211M,2.412T,15.76
73,MGRO.JK,PT Mahkota Group Tbk,675.00,+5.00,+0.75%,3.035M,2.409M,2.398T,N/A
74,282330.KS,"BGF retail CO., LTD.","137,500.00","-3,500.00",-2.48%,"57,211","43,703",2.375T,N/A
75,097955.KS,CJ Cheiljedang Corporation,"147,500.00",-500.00,-0.34%,"4,465","10,239",2.363T,N/A
76,ESME.BA,Bodegas Esmeralda S.A.,395.00,0.00,0.00%,0,66,2.328T,"2,724.14"
77,BTEK.JK,PT Bumi Teknokultura Unggul Tbk,50.00,0.00,0.00%,"3,400","1,441",2.314T,N/A
78,ANB.MX,Anheuser-Busch InBev SA/NV,"1,155.00",0.00,0.00%,0,"2,537",2.306T,698.31
79,CCU.SN,Compania Cervecerias Unidas S.A.,"6,064.00",-136.10,-2.20%,"28,014","79,063",2.241T,19.68
80,004990.KS,LOTTE Corporation,"31,600.00",+250.00,+0.80%,"118,287",1.078M,2.237T,N/A
81,004370.KS,"Nongshim Co., Ltd.","380,500.00",+500.00,+0.13%,"25,975","42,010",2.2T,N/A
82,TSCO.L,Tesco PLC,215.98,-2.22,-1.02%,10.179M,28.827M,21.152B,21.82
83,600519.SS,"Kweichow Moutai Co., Ltd.","1,681.34",-6.66,-0.39%,5.317M,2.639M,2.112T,49.03
84,ANDINA-B.SN,Embotelladora Andina S.A.,"2,122.00",+12.00,+0.57%,"60,762","182,529",2.009T,11.44
85,PSGO.JK,PT Palma Serasih Tbk,103.00,0.00,0.00%,"301,500","94,161",1.942T,N/A
86,007310.KS,Ottogi Corporation,"567,000.00","+2,000.00",+0.35%,"4,278","6,505",1.923T,N/A
87,WALM34.SA,Walmart Inc.,168.84,-1.32,-0.78%,150,"5,408",1.911T,128.42
88,ANJT.JK,PT Austindo Nusantara Jaya Tbk,565.00,-40.00,-6.61%,300,"9,124",1.871T,N/A
89,DEON.MX,Diageo plc,"3,085.00",0.00,0.00%,61,436,1.78T,481.73
90,2503.T,"Kirin Holdings Company, Limited","2,165.50",-64.50,-2.89%,2.167M,1.937M,1.806T,15.65
91,ANH.JO,Anheuser-Busch InBev SA/NV,"89,100.00",-847.00,-0.94%,"297,398","243,562",1.747T,"53,869.41"
92,ANDINA-A.SN,Embotelladora Andina S.A.,"1,800.00",0.00,0.00%,"2,762","80,693",1.704T,9.70
93,2502.T,"Asahi Group Holdings, Ltd.","3,682.00",-71.00,-1.89%,1.222M,1.519M,1.687T,12.47
94,MDLZ.MX,"Mondelez International, Inc.","1,146.00",0.00,0.00%,0,159,1.641T,451.00
95,MO.MX,"Altria Group, Inc.",873.00,0.00,0.00%,0,522,1.657T,N/A
96,NESTLEIND.NS,Nestle India Limited,"16,802.05",-110.35,-0.65%,"218,706","165,707",1.62T,79.71
97,NESTLEIND.BO,Nestle India Limited,"16,798.90",-92.55,-0.55%,"3,804","4,894",1.622T,79.69
98,026960.KS,Dong Suh Companies Inc.,"16,250.00",+250.00,+1.56%,"78,899","97,110",1.603T,N/A
99,PGCO34.SA,The Procter & Gamble Company,658.58,0.00,0.00%,0,"2,203",1.621T,354.84
0,HOKI.JK,PT Buyung Poetra Sembada Tbk,660.00,-15.00,-2.22%,5.914M,19.987M,1.575T,17.37
1,ABF.L,Associated British Foods plc,"1,983.50",+32.50,+1.67%,"526,544",1.379M,15.703B,22.19
2,200130.KQ,"KolmarBNH Co., Ltd.","52,500.00",-400.00,-0.76%,"302,109","174,300",1.551T,N/A
3,EL.MX,The Estee Lauder Companies Inc.,"4,306.02",0.00,0.00%,0,230,1.52T,"1,215.02"
