,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
51,SAMF.JK,"PT Saraswanti Anugerah Makmur, Tbk",386.00,+16.00,+4.32%,"23,600","380,216",1.978T,20.45
52,011785.KS,"Kumho Petrochemical Co., Ltd.","30,300.00",-150.00,-0.49%,"4,928","26,942",1.939T,N/A
53,011780.KS,"Kumho Petrochemical Co., Ltd.","74,200.00","-1,800.00",-2.37%,"114,769","221,428",1.846T,N/A
54,BHP.JO,BHP Group,"35,950.00",+259.00,+0.73%,1.023M,1.831M,1.793T,"19,369.61"
55,AGII.JK,PT Aneka Gas Industri Tbk,585.00,0.00,0.00%,"134,700","646,396",1.794T,19.94
56,PLZL.ME,Public Joint Stock Company Polyus,"12,908.00",+201.00,+1.58%,"219,484","211,150",1.709T,"2,669.15"
57,285130.KS,"SK Chemicals Co.,Ltd.","140,500.00","+12,500.00",+9.77%,1.871M,"852,213",1.648T,N/A
58,ASIANPAINT.BO,Asian Paints Limited,"1,686.60",-58.85,-3.37%,"69,263","76,927",1.618T,59.81
59,ASIANPAINT.NS,Asian Paints Limited,"1,686.25",-59.50,-3.41%,2.725M,2.762M,1.617T,59.80
60,AIN.MX,L'Air Liquide S.A.,"3,319.96",0.00,0.00%,0,142,1.572T,528.40
61,005290.KQ,"Dongjin Semichem Co., Ltd.","28,750.00",+350.00,+1.23%,1.73M,N/A,1.478T,N/A
62,014680.KS,"Hansol Chemical Co., Ltd.","130,500.00",0.00,0.00%,"42,839","83,571",1.447T,N/A
63,PTRO.JK,PT Petrosea Tbk,"1,410.00",+35.00,+2.55%,1.094M,"668,466",1.422T,"44,062.50"
64,FCX.BA,Freeport-McMoRan Inc.,"1,315.00",0.00,0.00%,2,3,1.308T,N/A
65,016385.KS,"KG Dongbusteel Co., Ltd.","142,000.00","+13,500.00",+10.51%,"16,777","3,982",1.434T,N/A
66,016380.KS,"KG Dongbusteel Co., Ltd.","13,150.00",+250.00,+1.94%,"132,753","253,348",1.323T,N/A
67,UNIC.JK,PT Unggul Indah Cahaya Tbk,"3,400.00",0.00,0.00%,400,"1,679",1.303T,"117,241.38"
68,IFII.JK,PT Indonesia Fibreboard Industry Tbk,135.00,-2.00,-1.46%,1.549M,3.039M,1.271T,17.00
69,VALEN.MX,Vale S.A.,236.00,0.00,0.00%,0,"5,999",1.211T,"2,034.48"
70,INRU.JK,PT Toba Pulp Lestari Tbk,850.00,0.00,0.00%,400,"1,732",1.181T,N/A
71,NEM.MX,Newmont Corporation,"1,447.00",+92.00,+6.79%,20,"2,104",1.195T,328.42
72,004000.KS,"LOTTE Fine Chemical Co., Ltd.","46,050.00","+4,700.00",+11.37%,"670,373","126,836",1.173T,N/A
73,3407.T,Asahi Kasei Corporation,835.90,-16.00,-1.88%,3.902M,5.745M,1.16T,11.17
74,120115.KS,"Kolon Industries, Inc.","19,950.00",+400.00,+2.05%,"77,759","120,985",1.116T,N/A
75,ULTRACEMCO.BO,UltraTech Cement Limited,"3,789.50",-71.40,-1.85%,"26,827","21,097",1.093T,18.80
76,ULTRACEMCO.NS,UltraTech Cement Limited,"3,786.65",-75.35,-1.95%,"635,251","619,641",1.092T,18.79
77,010060.KS,OCI Company Ltd.,"42,900.00","+1,350.00",+3.25%,"340,737","300,160",1.015T,N/A
78,TDPM.JK,PT Tridomain Performance Materials Tbk,93.00,+1.00,+1.09%,2.691M,9.364M,975.114B,"92,999.99"
79,ANTO.L,Antofagasta plc,976.60,+0.60,+0.06%,"472,858",1.93M,9.628B,19.19
80,120110.KS,"Kolon Industries, Inc.","35,300.00",0.00,0.00%,"191,661","391,813",952.352B,N/A
81,8015.T,Toyota Tsusho Corporation,"2,696.00",-39.00,-1.43%,"635,000","804,078",948.69B,7.00
82,5401.T,Nippon Steel Corporation,"1,018.00",-0.50,-0.05%,3.667M,5.896M,937.093B,N/A
83,SCC-R.BK,The Siam Cement Public Company Limited,379.00,-1.00,-0.26%,2.101M,N/A,902.475B,16.65
84,DD.MX,"DuPont de Nemours, Inc.","1,200.00",0.00,0.00%,0,54,878.375B,N/A
85,ISSP.JK,PT Steel Pipe Industry of Indonesia Tbk,126.00,+1.00,+0.80%,1.378M,6.845M,890.233B,10.03
86,ENAEX.SN,Enaex S.A.,"7,233.60",0.00,0.00%,"2,960","9,940",889.733B,"10,910.41"
87,4188.T,Mitsubishi Chemical Holdings Corporation,620.90,-4.00,-0.64%,3.593M,6.484M,881.715B,17.64
88,6988.T,Nitto Denko Corporation,"5,850.00",-130.00,-2.17%,1.248M,"790,867",879.366B,19.43
89,IFSH.JK,PT Ifishdeco Tbk,410.00,+10.00,+2.50%,"18,000","24,764",871.25B,6.32
90,5713.T,"Sumitomo Metal Mining Co., Ltd.","3,130.00",-13.00,-0.41%,"883,900",1.387M,860.068B,14.19
91,NLMK.ME,"Public Joint Stock Company ""Novolipetsk Steel""",142.66,-0.64,-0.45%,2.232M,6.081M,854.994B,68.62
92,CAP.SN,CAP S.A.,"5,720.40",+69.40,+1.23%,"179,661","48,559",854.902B,N/A
93,000670.KS,Young Poong Corporation,"488,000.00","-1,000.00",-0.20%,"1,435","3,619",839.423B,N/A
94,SHREECEM.BO,Shree Cement Limited,"22,443.55",-370.60,-1.62%,"1,188","1,040",809.779B,51.55
95,SHREECEM.NS,Shree Cement Limited,"22,439.80",-384.30,-1.68%,"57,098","64,068",809.291B,51.54
96,HINDZINC.NS,Hindustan Zinc Limited,190.85,-5.55,-2.83%,1.792M,"977,947",805.786B,11.85
97,HINDZINC.BO,Hindustan Zinc Limited,190.85,-5.40,-2.75%,"131,623","108,517",806.402B,11.85
98,4021.T,Nissan Chemical Corporation,"5,460.00",-120.00,-2.15%,"758,200","537,323",792.994B,25.99
99,AGLN.MX,Anglo American plc,530.56,0.00,0.00%,0,"4,794",781.759B,192.23
0,4091.T,Taiyo Nippon Sanso Corporation,"1,773.00",+5.00,+0.28%,"736,200","749,754",767.273B,14.38
1,EKAD.JK,PT Ekadharma International Tbk,"1,085.00",+10.00,+0.93%,"196,400","197,804",758.171B,10.03
2,POLY.L,Polymetal International plc,"1,595.50",-5.50,-0.34%,2.114M,1.987M,7.528B,15.80
3,025900.KQ,"Dongwha Enterprise Co.,Ltd","46,350.00","+1,300.00",+2.89%,"537,699","116,750",750.318B,N/A
4,CHMF.ME,PAO Severstal,893.20,+1.00,+0.11%,"376,268",1.083M,748.251B,542.32
5,093370.KS,"Foosung Co., Ltd.","8,060.00",0.00,0.00%,"747,811",1.649M,746.411B,N/A
6,MOLYMET.SN,Molibdenos y Metales S.A.,"5,499.00",-0.30,-0.01%,240,"6,913",731.362B,"13,282.61"
7,006650.KS,"Korea Petrochemical Ind. Co., Ltd.","116,500.00","+1,000.00",+0.87%,"39,810","72,064",719.516B,N/A
8,MNDI.L,Mondi plc,"1,457.50",-12.50,-0.85%,"665,418",1.79M,7.077B,9.01
9,PIDILITIND.NS,Pidilite Industries Limited,"1,386.55",-12.75,-0.91%,"481,763","875,787",704.539B,63.11
10,PIDILITIND.BO,Pidilite Industries Limited,"1,385.45",-13.90,-0.99%,"54,872","47,831",703.96B,63.06
11,5201.T,AGC Inc.,"3,130.00",+20.00,+0.64%,1.391M,1.239M,692.544B,16.42
12,CRDA.L,Croda International Plc,"5,360.00",-14.00,-0.26%,"90,389","436,980",6.908B,31.09
13,078130.KQ,"Kuk-Il Paper Mfg Co.,Ltd","5,660.00",-20.00,-0.35%,1.359M,8.625M,685.884B,N/A
14,FRES.L,Fresnillo Plc,912.80,+27.60,+3.12%,"977,792",1.514M,6.726B,32.95
15,008355.KS,"Namsun Aluminum Co., Ltd.","94,900.00",+200.00,+0.21%,"164,581","98,565",677.335B,N/A
16,008350.KS,"Namsun Aluminum Co., Ltd.","5,820.00",-50.00,-0.85%,10.805M,20.573M,670.15B,N/A
17,POLY.ME,Polymetal International plc,"1,429.30",+6.50,+0.46%,2.024M,"861,947",671.85B,"1,415.15"
18,LTLS.JK,PT Lautan Luas Tbk,432.00,-8.00,-1.82%,"27,900","474,441",663.837B,50.46
19,L1IN34.SA,Linde plc,298.19,0.00,0.00%,0,0,631.733B,68.98
20,069260.KS,Huchems Fine Chemical Corporation,"16,050.00",-50.00,-0.31%,"104,332","128,682",615.853B,N/A
21,DKFT.JK,PT Central Omega Resources Tbk,109.00,0.00,0.00%,8.438M,3.15M,596.61B,N/A
22,4613.T,"Kansai Paint Co., Ltd.","2,236.00",-37.00,-1.63%,"510,900","770,037",574.777B,34.03
23,S32.L,South32 Limited,115.36,+0.56,+0.49%,"28,647",1.043M,5.599B,N/A
24,5486.T,"Hitachi Metals, Ltd.","1,289.00",-18.00,-1.38%,"652,200",1.255M,551.134B,N/A
25,SPMA.JK,PT Suparma Tbk,260.00,+2.00,+0.78%,"17,700","26,567",549.788B,8.26
26,AGL.JO,Anglo American plc,"39,991.00",+332.00,+0.84%,1.648M,2.053M,540.122B,"14,489.49"
27,4005.T,"Sumitomo Chemical Company, Limited",327.00,+2.00,+0.62%,10.81M,11.581M,534.645B,17.29
28,001230.KS,Dongkuk Steel Mill Company Limited,"5,750.00",+150.00,+2.68%,"816,694",2.08M,532.02B,N/A
29,1301.TW,Formosa Plastics Corporation,83.20,-0.50,-0.60%,7.818M,10.172M,529.63B,18.39
30,102710.KQ,"ENF Technology Co., Ltd.","36,450.00",-250.00,-0.68%,"192,444","253,820",518.527B,N/A
31,FPNI.JK,PT Lotte Chemical Titan Tbk,93.00,+1.00,+1.09%,"220,900","408,701",517.676B,N/A
32,1303.TW,Nan Ya Plastics Corporation,64.80,0.00,0.00%,4.719M,6.607M,513.917B,27.00
33,GDST.JK,PT Gunawan Dianjaya Steel Tbk,60.00,0.00,0.00%,"876,600",1.589M,506.715B,18.90
34,GLN.JO,Glencore plc,"3,726.00",-38.00,-1.01%,1.123M,2.492M,491.299B,N/A
35,006390.KS,"Hanil Hyundai Cement Co., Ltd","29,550.00",+350.00,+1.20%,"24,778","74,459",497.069B,N/A
36,ELECMETAL.SN,Compania Electro Metalurgica S.A.,"11,100.00",0.00,0.00%,100,29,486.18B,25.15
37,BERGEPAINT.NS,Berger Paints India Limited,498.65,-9.85,-1.94%,1.474M,1.548M,484.346B,73.87
38,BERGEPAINT.BO,Berger Paints India Limited,498.50,-10.05,-1.98%,"87,991","51,194",484.153B,73.85
39,ALRS.ME,Public Joint Stock Company ALROSA,66.88,+0.73,+1.10%,13.597M,19.916M,482.132B,11.75
40,3861.T,Oji Holdings Corporation,480.00,-2.00,-0.41%,2.209M,3.001M,475.207B,8.17
41,JSWSTEEL.BO,JSW Steel Limited,195.35,+4.50,+2.36%,1.043M,"565,894",469.309B,11.72
42,JSWSTEEL.NS,JSW Steel Limited,195.35,+4.50,+2.36%,22.602M,11.394M,469.309B,11.72
43,4042.T,Tosoh Corporation,"1,443.00",-5.00,-0.35%,1.288M,1.224M,466.277B,8.44
44,052260.KQ,"SKbioland Co., Ltd.","30,700.00",+50.00,+0.16%,"566,891","133,455",460.5B,N/A
45,5411.T,"JFE Holdings, Inc.",792.00,+3.00,+0.38%,3.678M,4.848M,456.063B,N/A
46,SCC.BK,The Siam Cement Public Company Limited,379.00,-1.00,-0.26%,2.101M,2.492M,454.8B,16.65
47,4185.T,JSR Corporation,"2,116.00",-3.00,-0.14%,"832,900","970,289",454.335B,20.27
48,ALDO.JK,PT Alkindo Naratama Tbk,400.00,0.00,0.00%,"370,700","49,287",440B,8.22
49,MAGN.ME,Public Joint Stock Company Magnitogorsk Iron & Steel Works,38.36,+0.22,+0.58%,8.33M,13.031M,428.646B,564.12
50,4183.T,"Mitsui Chemicals, Inc.","2,243.00",+12.00,+0.54%,1.024M,1.06M,427.733B,11.51
51,EVR.L,EVRAZ plc,294.50,-7.00,-2.32%,"987,814",3.53M,4.276B,13.39
52,1326.TW,Formosa Chemicals & Fibre Corporation,72.30,-0.40,-0.55%,5.959M,7.43M,422.884B,25.45
53,GMEXICOB.MX,"Grupo Mexico, S.A.B. de C.V.",54.98,-0.08,-0.15%,1.167M,9.559M,421.887B,337.30
54,268280.KS,"Miwon Specialty Chemical Co., Ltd.","82,300.00",+700.00,+0.86%,895,"3,137",419.73B,N/A
55,FCX.MX,Freeport-McMoRan Inc.,288.00,0.00,0.00%,0,"55,995",412.71B,N/A
56,RUAL.ME,United Company RUSAL Plc,27.00,+0.31,+1.14%,7.948M,10.344M,406.118B,428.57
57,VEDL.BO,Vedanta Limited,110.40,+2.85,+2.65%,1.382M,1.692M,408.723B,N/A
58,VEDL.NS,Vedanta Limited,110.40,+2.80,+2.60%,32.382M,32.602M,408.533B,N/A
59,ADMG.JK,PT. Polychem Indonesia Tbk,105.00,+1.00,+0.96%,"270,300",2.515M,408.364B,N/A
60,JMAT.L,Johnson Matthey Plc,"2,099.00",-42.00,-1.96%,"168,479","726,217",4.062B,15.89
61,TATASTEEL.BO,Tata Steel Limited,334.20,+4.05,+1.23%,"801,950","770,306",402.601B,28.18
62,TATASTEEL.NS,Tata Steel Limited,334.20,+3.90,+1.18%,21.555M,14.209M,402.42B,28.18
63,GRASIM.NS,Grasim Industries Limited,608.50,-15.15,-2.43%,2.39M,2.503M,400.275B,9.03
64,GRASIM.BO,Grasim Industries Limited,608.45,-15.10,-2.42%,"58,325","85,396",400.307B,9.03
65,AUY.BA,Yamana Gold Inc.,630.00,+24.50,+4.05%,"4,306","15,815",391.671B,"2,179.93"
66,006060.KS,"HWASEUNG Industries Co.,Ltd.","7,370.00",-100.00,-1.34%,"499,522",1.229M,394.016B,N/A
67,012610.KS,"Kyungin Synthetic Co., Ltd.","9,590.00",+70.00,+0.74%,"717,794",1.273M,391.337B,N/A
68,AMBUJACEM.NS,Ambuja Cements Limited,195.55,+2.30,+1.19%,3.253M,4.924M,388.394B,18.04
69,AMBUJACEM.BO,Ambuja Cements Limited,195.60,+2.30,+1.19%,"109,391","173,827",388.393B,18.04
