,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
53,SNPN.MX,China Petroleum & Chemical Corporation,"1,019.00",0.00,0.00%,0,294,1.535T,111.98
54,SIBN.ME,Public Joint Stock Company Gazprom Neft,328.60,-1.95,-0.59%,"958,730",2.135M,1.55T,5.57
55,MOL.BD,MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,"1,856.00",+34.00,+1.87%,"282,837",1.13M,1.424T,10.48
56,DOID.JK,PT Delta Dunia Makmur Tbk,153.00,-3.00,-1.92%,32.163M,38.331M,1.319T,N/A
57,PBRN.MX,Petroleo Brasileiro S.A. - Petrobras,199.00,+6.80,+3.54%,"5,000","30,574",1.268T,271.12
58,TATNP.ME,PJSC Tatneft,543.40,-7.10,-1.29%,"405,883",1.117M,1.254T,7.77
59,TATN.ME,PJSC Tatneft,558.80,-6.70,-1.18%,1.802M,5.331M,1.255T,7.99
60,5020.T,"ENEOS Holdings, Inc.",383.10,-3.20,-0.83%,10.975M,14.589M,1.233T,N/A
61,LKODN.MX,PJSC LUKOIL,"1,722.33",0.00,0.00%,0,0,1.038T,65.64
62,CEON.MX,CNOOC Limited,"2,599.96",0.00,0.00%,0,367,1.145T,N/A
63,PTT.BK,PTT Public Company Limited,39.50,-0.75,-1.86%,75.151M,76.898M,1.128T,18.55
64,DEWA.JK,PT Darma Henwa Tbk,50.00,0.00,0.00%,"2,200","22,558",1.093T,N/A
65,ONGC.BO,Oil and Natural Gas Corporation Limited,81.55,-0.40,-0.49%,2.023M,1.435M,1.026T,9.41
66,ONGC.NS,Oil and Natural Gas Corporation Limited,81.30,-0.65,-0.79%,18.615M,23.569M,1.023T,9.38
67,TRNFP.ME,Public Joint Stock Company Transneft,"138,050.00",+200.00,+0.15%,"1,936","4,823",1.001T,5.58
68,COP.MX,ConocoPhillips,960.00,0.00,0.00%,0,873,973.142B,293.76
69,EXXO34.SA,Exxon Mobil Corporation,58.14,+0.10,+0.17%,"2,000","3,002",981.665B,87.26
70,KKGI.JK,PT Resource Alam Indonesia Tbk,200.00,+1.00,+0.50%,"12,400","71,858",938.69B,"199,999.98"
71,1605.T,Inpex Corporation,634.00,-21.60,-3.29%,12.306M,9.086M,925.767B,5.89
72,CHVX34.SA,Chevron Corporation,239.50,0.00,0.00%,0,"1,238",863.271B,233.09
73,0857.HK,PetroChina Company Limited,2.810,+0.010,+0.36%,108.886M,99.495M,901.535B,10.06
74,6505.TW,Formosa Petrochemical Corporation,88.70,-0.20,-0.22%,2.546M,4.999M,844.953B,48.13
75,BPCL.NS,Bharat Petroleum Corporation Limited,378.15,-1.70,-0.45%,4.221M,7.581M,819.98B,24.35
76,BPCL.BO,Bharat Petroleum Corporation Limited,378.05,-1.65,-0.43%,"163,918","298,898",820.085B,24.34
77,COALINDIA.BO,Coal India Limited,132.90,0.00,0.00%,"687,077","525,249",818.718B,4.90
78,COALINDIA.NS,Coal India Limited,132.85,0.00,0.00%,12.304M,9.989M,818.719B,4.90
79,IOC.NS,Indian Oil Corporation Limited,86.95,+0.80,+0.93%,16.673M,17.342M,818.561B,N/A
80,IOC.BO,Indian Oil Corporation Limited,86.90,+0.75,+0.87%,"699,970",1.012M,818.091B,N/A
81,601857.SS,PetroChina Company Limited,4.6700,-0.0300,-0.64%,270.533M,90.738M,809.404B,44.48
82,5019.T,"Idemitsu Kosan Co.,Ltd.","2,327.00",-6.00,-0.26%,1.069M,1.661M,691.729B,N/A
83,DCC.L,DCC plc,"6,816.00",-122.00,-1.76%,"115,765","327,366",6.713B,27.35
84,018670.KS,"SK Gas Co., Ltd.","74,600.00","+1,700.00",+2.33%,"9,765","11,852",666.402B,N/A
85,EOG.MX,"EOG Resources, Inc.","1,143.00",0.00,0.00%,0,455,625.245B,314.79
